name;simulation-bidirect-runtime;simulation-bidirect-parsing;simulation-bidirect-reduction;simulation-bidirect-states;simulation-bidirect-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00124572; 0.0002; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.12; 0.0983583; 0.0239; 5; 5
automata/b-armc-incl-easy/aut1.mata;5.84; 1.88471; 3.9971; 12; 17
automata/b-armc-incl-easy/aut2.mata;0.34; 0.268815; 0.0654; 5; 5
automata/b-armc-incl-hard/aut1.mata;0.34; 0.268773; 0.0657; 5; 5
automata/b-armc-incl-hard/aut2.mata;0.24; 0.201532; 0.0550; 5; 5
automata/b-armc-incl-medium-hard/aut1.mata;0.25; 0.19971; 0.0544; 5; 5
automata/b-armc-incl-medium-hard/aut2.mata;0.29; 0.235521; 0.0583; 5; 5
automata/b-armc-incl-medium/aut1.mata;0.34; 0.273456; 0.0720; 5; 5
automata/b-armc-incl-medium/aut2.mata;0.26; 0.211504; 0.0521; 5; 5
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000528372; 0.0005; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00108947; 0.0005; 12; 13
automata/b-hand-made-easy/aut1.mata;6.58; 0.157008; 6.4580; 2005; 2010
automata/b-param-easiest/aut0.mata;0.0; 0.00313754; 0.0004; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.00307416; 0.0004; 7; 6
automata/b-param-easy/aut0.mata;0.55; 0.143238; 0.4134; 455; 456
automata/b-param-easy/aut1.mata;0.55; 0.142364; 0.4058; 454; 455
automata/b-param-harder/aut0.mata;0.04; 0.0324026; 0.0068; 39; 38
automata/b-param-harder/aut1.mata;0.04; 0.0323263; 0.0069; 39; 38
automata/b-param-harder/aut10.mata;0.04; 0.0323851; 0.0069; 39; 38
automata/b-param-harder/aut11.mata;0.04; 0.0324228; 0.0070; 39; 38
automata/b-param-harder/aut12.mata;0.03; 0.032422; 0.0070; 39; 38
automata/b-param-harder/aut13.mata;0.03; 0.0324301; 0.0068; 39; 38
automata/b-param-harder/aut14.mata;0.04; 0.0324384; 0.0070; 39; 38
automata/b-param-harder/aut15.mata;0.04; 0.0322853; 0.0068; 39; 38
automata/b-param-harder/aut16.mata;0.02; 0.0322898; 0.0070; 39; 38
automata/b-param-harder/aut17.mata;0.04; 0.0323065; 0.0068; 39; 38
