name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00139574; 0.0004; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.11; 0.0921075; 0.0235; 5; 5
automata/b-armc-incl-easy/aut1.mata;5.55; 1.75016; 3.7939; 5; 6
automata/b-armc-incl-easy/aut2.mata;0.31; 0.255405; 0.0648; 5; 5
automata/b-armc-incl-hard/aut1.mata;0.3; 0.255037; 0.0642; 5; 5
automata/b-armc-incl-hard/aut2.mata;0.24; 0.188692; 0.0538; 5; 5
automata/b-armc-incl-medium-hard/aut1.mata;0.25; 0.191429; 0.0538; 5; 5
automata/b-armc-incl-medium-hard/aut2.mata;0.27; 0.221156; 0.0572; 5; 5
automata/b-armc-incl-medium/aut1.mata;0.31; 0.252425; 0.0648; 5; 5
automata/b-armc-incl-medium/aut2.mata;0.26; 0.205072; 0.0514; 5; 5
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000499812; 0.0009; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00103563; 0.0019; 11; 11
automata/b-hand-made-easy/aut1.mata;20.91; 0.144799; 20.8558; 1002; 1004
automata/b-param-easiest/aut0.mata;0.0; 0.00297651; 0.0012; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.00298006; 0.0011; 7; 6
automata/b-param-easy/aut0.mata;1.7; 0.135151; 1.5736; 454; 454
automata/b-param-easy/aut1.mata;1.71; 0.135765; 1.5838; 453; 453
automata/b-param-harder/aut0.mata;0.04; 0.0309033; 0.0144; 39; 38
automata/b-param-harder/aut1.mata;0.03; 0.0307005; 0.0142; 39; 38
automata/b-param-harder/aut10.mata;0.04; 0.0308065; 0.0142; 39; 38
automata/b-param-harder/aut11.mata;0.04; 0.0305426; 0.0143; 39; 38
automata/b-param-harder/aut12.mata;0.04; 0.0331719; 0.0146; 39; 38
automata/b-param-harder/aut13.mata;0.04; 0.030784; 0.0143; 39; 38
automata/b-param-harder/aut14.mata;0.03; 0.0307211; 0.0141; 39; 38
automata/b-param-harder/aut15.mata;0.04; 0.030661; 0.0143; 39; 38
automata/b-param-harder/aut16.mata;0.04; 0.0306639; 0.0144; 39; 38
automata/b-param-harder/aut17.mata;0.04; 0.0307116; 0.0143; 39; 38
automata/b-param-harder/aut2.mata;0.04; 0.0305328; 0.0143; 39; 38
automata/b-param-harder/aut3.mata;0.04; 0.0306165; 0.0142; 39; 38
automata/b-param-harder/aut4.mata;0.04; 0.0308135; 0.0143; 39; 38
automata/b-param-harder/aut5.mata;0.04; 0.0306306; 0.0143; 39; 38
automata/b-param-harder/aut6.mata;0.04; 0.0306521; 0.0143; 39; 38
automata/b-param-harder/aut7.mata;0.03; 0.0305496; 0.0143; 39; 38
automata/b-param-harder/aut8.mata;0.04; 0.0307085; 0.0145; 39; 38
automata/b-param-harder/aut9.mata;0.04; 0.0307309; 0.0142; 39; 38
automata/b-param-hardest/aut1.mata;17.76; 1.14068; 16.6815; 1005; 1005
automata/b-param-hardest/aut2.mata;16.77; 1.13467; 15.6590; 1004; 1004
automata/b-param-medium/aut0.mata;0.04; 0.0290564; 0.0129; 37; 36
automata/b-param-medium/aut1.mata;0.04; 0.028962; 0.0130; 37; 36
automata/b-param-medium/aut10.mata;0.04; 0.0288631; 0.0130; 37; 36
automata/b-param-medium/aut11.mata;0.04; 0.0289538; 0.0130; 37; 36
automata/b-param-medium/aut12.mata;0.04; 0.0288594; 0.0129; 37; 36
automata/b-param-medium/aut13.mata;0.04; 0.0289071; 0.0129; 37; 36
automata/b-param-medium/aut14.mata;0.04; 0.0290095; 0.0129; 37; 36
automata/b-param-medium/aut15.mata;0.04; 0.0290926; 0.0130; 37; 36
automata/b-param-medium/aut16.mata;0.04; 0.0290129; 0.0130; 37; 36
automata/b-param-medium/aut2.mata;0.04; 0.028911; 0.0130; 37; 36
automata/b-param-medium/aut3.mata;0.04; 0.0287693; 0.0129; 37; 36
automata/b-param-medium/aut4.mata;0.04; 0.028883; 0.0130; 37; 36
automata/b-param-medium/aut5.mata;0.04; 0.0288358; 0.0130; 37; 36
automata/b-param-medium/aut6.mata;0.04; 0.0288542; 0.0130; 37; 36
automata/b-param-medium/aut7.mata;0.04; 0.0298414; 0.0131; 37; 36
automata/b-param-medium/aut8.mata;0.04; 0.0287776; 0.0130; 37; 36
automata/b-param-medium/aut9.mata;0.04; 0.0293083; 0.0130; 37; 36
