name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00120701; 0.0003; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.1; 0.090274; 0.0128; 5; 9
automata/b-armc-incl-easy/aut1.mata;3.73; 1.7769; 1.9596; 10; 11
automata/b-armc-incl-easy/aut2.mata;0.29; 0.252561; 0.0360; 5; 9
automata/b-armc-incl-hard/aut1.mata;0.28; 0.252755; 0.0358; 5; 6
automata/b-armc-incl-hard/aut2.mata;0.19; 0.18968; 0.0279; 5; 6
automata/b-armc-incl-medium-hard/aut1.mata;0.21; 0.190045; 0.0279; 5; 6
automata/b-armc-incl-medium-hard/aut2.mata;0.26; 0.221054; 0.0296; 5; 6
automata/b-armc-incl-medium/aut1.mata;0.28; 0.252548; 0.0333; 5; 6
automata/b-armc-incl-medium/aut2.mata;0.22; 0.199715; 0.0262; 5; 6
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000507391; 0.0005; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00103531; 0.0010; 11; 11
automata/b-hand-made-easy/aut1.mata;9.96; 0.150559; 9.8786; 1002; 1004
automata/b-param-easiest/aut0.mata;0.0; 0.00294383; 0.0006; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.0029126; 0.0006; 7; 6
automata/b-param-easy/aut0.mata;0.9; 0.135151; 0.7768; 454; 454
automata/b-param-easy/aut1.mata;0.89; 0.134817; 0.7746; 453; 453
automata/b-param-harder/aut0.mata;0.03; 0.0304583; 0.0070; 39; 38
automata/b-param-harder/aut1.mata;0.03; 0.0304454; 0.0070; 39; 38
automata/b-param-harder/aut10.mata;0.03; 0.0304308; 0.0070; 39; 38
automata/b-param-harder/aut11.mata;0.03; 0.030518; 0.0070; 39; 38
automata/b-param-harder/aut12.mata;0.03; 0.0308808; 0.0070; 39; 38
automata/b-param-harder/aut13.mata;0.04; 0.0315634; 0.0070; 39; 38
automata/b-param-harder/aut14.mata;0.03; 0.032189; 0.0071; 39; 38
automata/b-param-harder/aut15.mata;0.03; 0.0305248; 0.0071; 39; 38
automata/b-param-harder/aut16.mata;0.03; 0.0304531; 0.0071; 39; 38
automata/b-param-harder/aut17.mata;0.03; 0.03039; 0.0070; 39; 38
automata/b-param-harder/aut2.mata;0.03; 0.0304945; 0.0071; 39; 38
automata/b-param-harder/aut3.mata;0.03; 0.0303877; 0.0069; 39; 38
automata/b-param-harder/aut4.mata;0.03; 0.0305027; 0.0071; 39; 38
automata/b-param-harder/aut5.mata;0.03; 0.0303167; 0.0070; 39; 38
automata/b-param-harder/aut6.mata;0.03; 0.0304927; 0.0071; 39; 38
automata/b-param-harder/aut7.mata;0.03; 0.0307305; 0.0070; 39; 38
automata/b-param-harder/aut8.mata;0.03; 0.0303247; 0.0071; 39; 38
automata/b-param-harder/aut9.mata;0.03; 0.0303289; 0.0070; 39; 38
automata/b-param-hardest/aut1.mata;8.8; 1.14047; 7.7091; 1005; 1005
automata/b-param-hardest/aut2.mata;8.84; 1.13905; 7.7319; 1004; 1004
automata/b-param-medium/aut0.mata;0.03; 0.0289159; 0.0064; 37; 36
automata/b-param-medium/aut1.mata;0.03; 0.0287122; 0.0064; 37; 36
automata/b-param-medium/aut10.mata;0.02; 0.0288566; 0.0063; 37; 36
automata/b-param-medium/aut11.mata;0.02; 0.0288108; 0.0064; 37; 36
automata/b-param-medium/aut12.mata;0.03; 0.0286667; 0.0064; 37; 36
automata/b-param-medium/aut13.mata;0.03; 0.0288865; 0.0064; 37; 36
automata/b-param-medium/aut14.mata;0.03; 0.0286167; 0.0064; 37; 36
automata/b-param-medium/aut15.mata;0.03; 0.028701; 0.0063; 37; 36
automata/b-param-medium/aut16.mata;0.03; 0.0287543; 0.0064; 37; 36
automata/b-param-medium/aut2.mata;0.03; 0.0286924; 0.0064; 37; 36
automata/b-param-medium/aut3.mata;0.03; 0.0287767; 0.0064; 37; 36
automata/b-param-medium/aut4.mata;0.03; 0.02868; 0.0063; 37; 36
automata/b-param-medium/aut5.mata;0.03; 0.0287161; 0.0063; 37; 36
automata/b-param-medium/aut6.mata;0.03; 0.0288048; 0.0064; 37; 36
automata/b-param-medium/aut7.mata;0.03; 0.0286773; 0.0065; 37; 36
automata/b-param-medium/aut8.mata;0.02; 0.0286317; 0.0064; 37; 36
automata/b-param-medium/aut9.mata;0.03; 0.0287241; 0.0064; 37; 36
automata/b-regex-easiest/aut21.mata;0.01; 0.00926839; 0.0004; 4; 5
automata/b-regex-easiest/aut26.mata;0.01; 0.0133661; 0.0012; 13; 14
automata/b-regex-easiest/aut27.mata;0.01; 0.00918367; 0.0007; 6; 8
automata/b-regex-easiest/aut35.mata;0.01; 0.0238275; 0.0022; 17; 29
automata/b-regex-easiest/aut51.mata;0.0; 0.00451803; 0.0007; 8; 9
