name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00120016; 0.0004; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.1; 0.0908676; 0.0124; 1; 1
automata/b-armc-incl-easy/aut1.mata;3.62; 1.77827; 1.8759; 2; 2
automata/b-armc-incl-easy/aut2.mata;0.27; 0.254908; 0.0339; 1; 1
automata/b-armc-incl-hard/aut1.mata;0.28; 0.25275; 0.0323; 3; 4
automata/b-armc-incl-hard/aut2.mata;0.21; 0.189294; 0.0269; 3; 4
automata/b-armc-incl-medium-hard/aut1.mata;0.22; 0.18927; 0.0268; 3; 4
automata/b-armc-incl-medium-hard/aut2.mata;0.24; 0.221888; 0.0285; 3; 4
automata/b-armc-incl-medium/aut1.mata;0.28; 0.253915; 0.0320; 3; 4
automata/b-armc-incl-medium/aut2.mata;0.22; 0.199907; 0.0251; 3; 4
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000507343; 0.0005; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00102587; 0.0018; 5; 7
automata/b-hand-made-easy/aut1.mata;5.84; 0.148167; 5.7283; 45; 22
automata/b-param-easiest/aut0.mata;0.0; 0.00293748; 0.0007; 3; 4
automata/b-param-easiest/aut1.mata;TO;TO;TO;TO;TO
automata/b-param-easy/aut0.mata;1.07; 0.134576; 0.9475; 246; 63
automata/b-param-easy/aut1.mata;0.93; 0.136456; 0.7952; 141; 55
automata/b-param-harder/aut0.mata;0.03; 0.0303854; 0.0055; 17; 14
automata/b-param-harder/aut1.mata;0.03; 0.0302857; 0.0049; 3; 4
automata/b-param-harder/aut10.mata;0.03; 0.0302402; 0.0049; 3; 4
automata/b-param-harder/aut11.mata;0.03; 0.0302181; 0.0049; 3; 4
automata/b-param-harder/aut12.mata;0.03; 0.0303581; 0.0049; 3; 4
automata/b-param-harder/aut13.mata;0.03; 0.0303621; 0.0049; 3; 4
automata/b-param-harder/aut14.mata;0.03; 0.0302982; 0.0049; 3; 4
automata/b-param-harder/aut15.mata;0.03; 0.0302728; 0.0049; 3; 4
automata/b-param-harder/aut16.mata;0.03; 0.030261; 0.0049; 3; 4
automata/b-param-harder/aut17.mata;0.03; 0.0303489; 0.0055; 17; 14
automata/b-param-harder/aut2.mata;0.03; 0.0302936; 0.0049; 3; 4
automata/b-param-harder/aut3.mata;0.03; 0.0301777; 0.0049; 3; 4
automata/b-param-harder/aut4.mata;0.03; 0.0303476; 0.0049; 3; 4
automata/b-param-harder/aut5.mata;0.03; 0.0303762; 0.0049; 3; 4
automata/b-param-harder/aut6.mata;0.03; 0.0310569; 0.0049; 3; 4
automata/b-param-harder/aut7.mata;0.03; 0.0302159; 0.0049; 3; 4
automata/b-param-harder/aut8.mata;0.03; 0.0302587; 0.0049; 3; 4
automata/b-param-harder/aut9.mata;0.03; 0.030485; 0.0049; 3; 4
automata/b-param-hardest/aut1.mata;5.39; 1.13948; 4.2630; 2; 5
automata/b-param-hardest/aut2.mata;5.6; 1.1435; 4.4954; 3; 5
automata/b-param-medium/aut0.mata;0.03; 0.0288851; 0.0045; 7; 4
automata/b-param-medium/aut1.mata;0.03; 0.028682; 0.0044; 7; 3
automata/b-param-medium/aut10.mata;0.03; 0.028744; 0.0052; 7; 6
automata/b-param-medium/aut11.mata;0.03; 0.0286346; 0.0052; 7; 6
automata/b-param-medium/aut12.mata;0.03; 0.0287529; 0.0053; 7; 6
automata/b-param-medium/aut13.mata;0.03; 0.0291095; 0.0052; 7; 6
automata/b-param-medium/aut14.mata;0.03; 0.0287498; 0.0052; 7; 6
automata/b-param-medium/aut15.mata;0.03; 0.0287323; 0.0045; 7; 3
automata/b-param-medium/aut16.mata;0.03; 0.0288184; 0.0046; 7; 4
automata/b-param-medium/aut2.mata;0.03; 0.0288821; 0.0052; 7; 6
automata/b-param-medium/aut3.mata;0.03; 0.0287745; 0.0052; 7; 6
automata/b-param-medium/aut4.mata;0.03; 0.0296109; 0.0052; 7; 6
automata/b-param-medium/aut5.mata;0.03; 0.0293439; 0.0052; 7; 6
automata/b-param-medium/aut6.mata;0.03; 0.0299135; 0.0052; 7; 6
automata/b-param-medium/aut7.mata;0.03; 0.0286132; 0.0052; 7; 6
automata/b-param-medium/aut8.mata;0.03; 0.0289426; 0.0052; 7; 6
automata/b-param-medium/aut9.mata;0.02; 0.0290179; 0.0052; 7; 6
automata/b-regex-easiest/aut21.mata;0.01; 0.00927042; 0.0005; 2; 3
automata/b-regex-easiest/aut26.mata;0.01; 0.0133452; 0.0016; 4; 9
automata/b-regex-easiest/aut27.mata;0.01; 0.00925998; 0.0009; 4; 7
automata/b-regex-easiest/aut35.mata;0.01; 0.0237732; 0.0027; 5; 14
automata/b-regex-easiest/aut51.mata;0.0; 0.00450594; 0.0009; 4; 8
automata/b-regex-easy/aut26.mata;0.01; 0.0134239; 0.0015; 4; 9
automata/b-regex-easy/aut40.mata;0.0; 0.00379851; 0.0010; 3; 5
automata/b-regex-easy/aut61.mata;0.03; 0.0320572; 0.0008; 3; 5
automata/b-regex-easy/aut69.mata;1.42; 1.38739; 0.0701; 2; 4
automata/b-regex-easy/aut7.mata;1.55; 1.40007; 0.2014; 2; 7
automata/b-smt-easiest/aut1.mata;0.0; 0.000685193; 0.0002; 1; 1
automata/b-smt-easiest/aut2.mata;0.0; 0.000772623; 0.0002; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;3.24; 1.46562; 1.7743; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;2.98; 1.37975; 1.6155; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;3.29; 1.50462; 1.8203; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;2.98; 1.38116; 1.6088; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;3.21; 1.46467; 1.7738; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;2.74; 1.27352; 1.4676; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;3.22; 1.45009; 1.7619; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;2.88; 1.33527; 1.5447; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata;3.23; 1.45926; 1.7600; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;2.96; 1.37516; 1.6064; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.9; 1.65615; 0.2806; 2; 3
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.22; 0.21629; 0.0075; 2; 3
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;0.21; 0.193138; 0.0256; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.24; 0.211836; 0.0289; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;0.27; 0.243312; 0.0323; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.24; 0.21198; 0.0289; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;0.28; 0.244531; 0.0322; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.24; 0.213155; 0.0288; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;0.26; 0.242384; 0.0324; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.21; 0.181208; 0.0269; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;0.26; 0.24339; 0.0320; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.22; 0.191757; 0.0252; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;0.27; 0.242167; 0.0323; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.23; 0.213023; 0.0288; 3; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;3.44; 1.48093; 1.9637; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;3.4; 1.47541; 1.9483; 3; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;3.51; 1.49795; 1.9969; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;3.43; 1.47674; 1.9457; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;3.41; 1.46876; 1.9465; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;3.14; 1.36884; 1.7753; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;3.42; 1.47816; 1.9550; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;3.42; 1.47533; 1.9566; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata;1.36; 0.745395; 0.6215; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;1.2; 0.664968; 0.5379; 2; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata;1.4; 0.758129; 0.6374; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;1.19; 0.662419; 0.5423; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;1.35; 0.747141; 0.6078; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;1.31; 0.716302; 0.6101; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;1.37; 0.74959; 0.6117; 4; 3
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;1.31; 0.724255; 0.5946; 2; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;1.35; 0.745714; 0.6090; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;1.19; 0.665439; 0.5366; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;1.34; 0.652483; 0.6809; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;1.0; 0.554347; 0.4503; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;1.23; 0.650482; 0.5981; 3; 2
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.99; 0.554718; 0.4478; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;1.36; 0.688253; 0.6643; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;1.21; 0.623055; 0.5831; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;12.6; 6.68648; 5.9235; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.78; 0.350214; 0.4304; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;12.55; 6.70879; 5.8992; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.08; 0.499721; 0.5750; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;12.58; 6.69644; 5.8555; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.09; 0.504012; 0.5775; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.9; 1.66128; 0.2257; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.21; 0.21671; 0.0067; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.88; 1.65604; 0.2284; 1; 1
