name;brzozowski-runtime;brzozowski-parsing;brzozowski-reduction;brzozowski-states;brzozowski-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00119323; 0.0001; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.09; 0.0932148; 0.0025; 5; 5
automata/b-armc-incl-easy/aut1.mata;1.81; 1.7889; 0.0415; 5; 5
automata/b-armc-incl-easy/aut2.mata;0.26; 0.258787; 0.0057; 5; 5
automata/b-armc-incl-hard/aut1.mata;0.26; 0.259603; 0.0038; 5; 5
automata/b-armc-incl-hard/aut2.mata;0.19; 0.196894; 0.0029; 5; 5
automata/b-armc-incl-medium-hard/aut1.mata;0.19; 0.193127; 0.0028; 5; 5
automata/b-armc-incl-medium-hard/aut2.mata;0.21; 0.226593; 0.0033; 5; 5
automata/b-armc-incl-medium/aut1.mata;0.26; 0.262064; 0.0038; 5; 5
automata/b-armc-incl-medium/aut2.mata;0.19; 0.204688; 0.0030; 5; 5
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000497451; 0.0002; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00106582; 0.0001; 11; 11
automata/b-hand-made-easy/aut1.mata;1.6; 0.147212; 1.4603; 1002; 1004
automata/b-param-easiest/aut0.mata;0.0; 0.00303553; 0.0001; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.00300442; 0.0001; 7; 6
automata/b-param-easy/aut0.mata;0.23; 0.138377; 0.0978; 454; 454
automata/b-param-easy/aut1.mata;0.23; 0.137053; 0.0966; 453; 453
automata/b-param-harder/aut0.mata;0.03; 0.0320607; 0.0006; 39; 38
automata/b-param-harder/aut1.mata;0.03; 0.0314417; 0.0006; 39; 38
automata/b-param-harder/aut10.mata;0.02; 0.0314479; 0.0006; 39; 38
automata/b-param-harder/aut11.mata;0.03; 0.0313788; 0.0006; 39; 38
automata/b-param-harder/aut12.mata;0.03; 0.0317116; 0.0006; 39; 38
automata/b-param-harder/aut13.mata;0.03; 0.031212; 0.0006; 39; 38
automata/b-param-harder/aut14.mata;0.03; 0.0314392; 0.0006; 39; 38
automata/b-param-harder/aut15.mata;0.03; 0.0311266; 0.0006; 39; 38
automata/b-param-harder/aut16.mata;0.03; 0.0314884; 0.0006; 39; 38
automata/b-param-harder/aut17.mata;0.02; 0.03123; 0.0006; 39; 38
automata/b-param-harder/aut2.mata;0.03; 0.0314901; 0.0006; 39; 38
automata/b-param-harder/aut3.mata;0.03; 0.031228; 0.0006; 39; 38
automata/b-param-harder/aut4.mata;0.03; 0.0315669; 0.0006; 39; 38
automata/b-param-harder/aut5.mata;0.03; 0.0314136; 0.0006; 39; 38
automata/b-param-harder/aut6.mata;0.03; 0.0317285; 0.0006; 39; 38
automata/b-param-harder/aut7.mata;0.03; 0.0312686; 0.0006; 39; 38
automata/b-param-harder/aut8.mata;0.03; 0.0315509; 0.0006; 39; 38
automata/b-param-harder/aut9.mata;0.03; 0.0311285; 0.0006; 39; 38
automata/b-param-hardest/aut1.mata;1.67; 1.19977; 0.5003; 1005; 1005
automata/b-param-hardest/aut2.mata;1.65; 1.16794; 0.4978; 1004; 1004
automata/b-param-medium/aut0.mata;0.03; 0.0296568; 0.0005; 37; 36
automata/b-param-medium/aut1.mata;0.03; 0.029517; 0.0005; 37; 36
automata/b-param-medium/aut10.mata;0.03; 0.0295689; 0.0005; 37; 36
automata/b-param-medium/aut11.mata;0.02; 0.0293295; 0.0005; 37; 36
automata/b-param-medium/aut12.mata;0.02; 0.0294465; 0.0005; 37; 36
automata/b-param-medium/aut13.mata;0.03; 0.0292125; 0.0005; 37; 36
automata/b-param-medium/aut14.mata;0.03; 0.0294217; 0.0005; 37; 36
automata/b-param-medium/aut15.mata;0.03; 0.0294604; 0.0005; 37; 36
automata/b-param-medium/aut16.mata;0.03; 0.0294397; 0.0005; 37; 36
automata/b-param-medium/aut2.mata;0.03; 0.0295123; 0.0006; 37; 36
automata/b-param-medium/aut3.mata;0.03; 0.0295497; 0.0005; 37; 36
automata/b-param-medium/aut4.mata;0.03; 0.0293896; 0.0005; 37; 36
automata/b-param-medium/aut5.mata;0.02; 0.02928; 0.0005; 37; 36
automata/b-param-medium/aut6.mata;0.02; 0.0292533; 0.0005; 37; 36
automata/b-param-medium/aut7.mata;0.03; 0.029592; 0.0006; 37; 36
automata/b-param-medium/aut8.mata;0.03; 0.0296917; 0.0005; 37; 36
automata/b-param-medium/aut9.mata;0.03; 0.0293208; 0.0005; 37; 36
automata/b-regex-easiest/aut21.mata;0.01; 0.00955146; 0.0001; 4; 5
automata/b-regex-easiest/aut26.mata;0.01; 0.0137137; 0.0002; 13; 13
automata/b-regex-easiest/aut27.mata;0.01; 0.00949471; 0.0001; 6; 8
automata/b-regex-easiest/aut35.mata;0.02; 0.0243834; 0.0007; 22; 40
automata/b-regex-easiest/aut51.mata;0.0; 0.00463007; 0.0002; 5; 5
automata/b-regex-easy/aut26.mata;0.01; 0.0136836; 0.0002; 13; 13
automata/b-regex-easy/aut40.mata;0.0; 0.0038866; 0.0001; 8; 8
automata/b-regex-easy/aut61.mata;0.03; 0.0324649; 0.0002; 6; 9
automata/b-regex-easy/aut69.mata;1.46; 1.40453; 0.0513; 130; 255
automata/b-regex-easy/aut7.mata;4.04; 1.41915; 2.6284; 792; 1576
automata/b-smt-easiest/aut1.mata;0.0; 0.000640873; 0.0000; 1; 1
automata/b-smt-easiest/aut2.mata;0.0; 0.000788934; 0.0000; 1; 1
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.53; 1.49223; 0.0397; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.49; 1.43535; 0.0372; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;1.56; 1.53693; 0.0410; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.49; 1.43638; 0.0372; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.54; 1.4932; 0.0402; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.34; 1.30744; 0.0342; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;1.55; 1.53658; 0.0408; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.4; 1.36157; 0.0355; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata;1.52; 1.49458; 0.0398; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;1.46; 1.4179; 0.0366; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.69; 1.69067; 0.0231; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.22; 0.222131; 0.0028; 6; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;0.19; 0.199056; 0.0030; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.22; 0.217388; 0.0033; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;0.25; 0.257009; 0.0038; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.21; 0.217538; 0.0033; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;0.26; 0.252595; 0.0038; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.21; 0.218157; 0.0033; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;0.25; 0.247581; 0.0037; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.18; 0.184191; 0.0029; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;0.24; 0.250951; 0.0038; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.2; 0.195767; 0.0030; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;0.25; 0.249026; 0.0038; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.21; 0.219287; 0.0033; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;1.57; 1.52199; 0.0597; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.58; 1.50884; 0.0592; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;1.62; 1.56102; 0.0613; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.57; 1.50898; 0.0596; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.59; 1.52702; 0.0594; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.44; 1.40229; 0.0551; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;1.58; 1.5476; 0.0601; 5; 5
