name;hopcroft-runtime;hopcroft-parsing;hopcroft-reduction;hopcroft-states;hopcroft-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00121338; 0.0001; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.09; 0.0931363; 0.0013; 5; 5
automata/b-armc-incl-easy/aut1.mata;1.83; 1.78786; 0.0529; 5; 5
automata/b-armc-incl-easy/aut2.mata;0.26; 0.260595; 0.0029; 5; 5
automata/b-armc-incl-hard/aut1.mata;0.26; 0.257029; 0.0047; 5; 5
automata/b-armc-incl-hard/aut2.mata;0.19; 0.193906; 0.0036; 5; 5
automata/b-armc-incl-medium-hard/aut1.mata;0.19; 0.194729; 0.0037; 5; 5
automata/b-armc-incl-medium-hard/aut2.mata;0.22; 0.224861; 0.0041; 5; 5
automata/b-armc-incl-medium/aut1.mata;0.26; 0.257327; 0.0048; 5; 5
automata/b-armc-incl-medium/aut2.mata;0.22; 0.206519; 0.0038; 5; 5
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000502403; 0.0001; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00107688; 0.0001; 11; 11
automata/b-hand-made-easy/aut1.mata;0.16; 0.149437; 0.0117; 1002; 1004
automata/b-param-easiest/aut0.mata;0.0; 0.00308313; 0.0001; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.0029777; 0.0001; 7; 6
automata/b-param-easy/aut0.mata;0.22; 0.140079; 0.0942; 454; 454
automata/b-param-easy/aut1.mata;0.22; 0.139811; 0.0942; 453; 453
automata/b-param-harder/aut0.mata;0.02; 0.0312365; 0.0004; 39; 38
automata/b-param-harder/aut1.mata;0.03; 0.0311408; 0.0004; 39; 38
automata/b-param-harder/aut10.mata;0.02; 0.0311831; 0.0004; 39; 38
automata/b-param-harder/aut11.mata;0.03; 0.0311139; 0.0004; 39; 38
automata/b-param-harder/aut12.mata;0.02; 0.0310184; 0.0004; 39; 38
automata/b-param-harder/aut13.mata;0.03; 0.0313396; 0.0004; 39; 38
automata/b-param-harder/aut14.mata;0.03; 0.0313053; 0.0004; 39; 38
automata/b-param-harder/aut15.mata;0.03; 0.0315549; 0.0004; 39; 38
automata/b-param-harder/aut16.mata;0.03; 0.0311364; 0.0004; 39; 38
automata/b-param-harder/aut17.mata;0.03; 0.0312999; 0.0004; 39; 38
automata/b-param-harder/aut2.mata;0.03; 0.0315632; 0.0004; 39; 38
automata/b-param-harder/aut3.mata;0.03; 0.0309495; 0.0004; 39; 38
automata/b-param-harder/aut4.mata;0.02; 0.0312214; 0.0004; 39; 38
automata/b-param-harder/aut5.mata;0.03; 0.0314167; 0.0004; 39; 38
automata/b-param-harder/aut6.mata;0.03; 0.0312214; 0.0004; 39; 38
automata/b-param-harder/aut7.mata;0.03; 0.0316137; 0.0004; 39; 38
automata/b-param-harder/aut8.mata;0.02; 0.0312715; 0.0004; 39; 38
automata/b-param-harder/aut9.mata;0.03; 0.0311127; 0.0004; 39; 38
automata/b-param-hardest/aut1.mata;2.83; 1.18344; 1.6972; 1005; 1005
automata/b-param-hardest/aut2.mata;2.85; 1.18877; 1.6887; 1004; 1004
automata/b-param-medium/aut0.mata;0.02; 0.0294469; 0.0004; 37; 36
automata/b-param-medium/aut1.mata;0.02; 0.0293067; 0.0004; 37; 36
automata/b-param-medium/aut10.mata;0.02; 0.0293231; 0.0004; 37; 36
automata/b-param-medium/aut11.mata;0.03; 0.0294132; 0.0004; 37; 36
