name;residual-runtime;residual-parsing;residual-reduction;residual-states;residual-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00181297; 0.0002; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.1; 0.0999216; 0.0025; 5; 5
automata/b-armc-incl-easy/aut1.mata;1.86; 1.81809; 0.0433; 5; 5
automata/b-armc-incl-easy/aut2.mata;0.26; 0.261082; 0.0058; 5; 5
automata/b-armc-incl-hard/aut1.mata;0.25; 0.260985; 0.0040; 5; 5
automata/b-armc-incl-hard/aut2.mata;0.19; 0.194965; 0.0031; 5; 5
automata/b-armc-incl-medium-hard/aut1.mata;0.19; 0.194111; 0.0031; 5; 5
automata/b-armc-incl-medium-hard/aut2.mata;0.22; 0.227686; 0.0035; 5; 5
automata/b-armc-incl-medium/aut1.mata;0.27; 0.261105; 0.0040; 5; 5
automata/b-armc-incl-medium/aut2.mata;0.21; 0.204828; 0.0032; 5; 5
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000502752; 0.0002; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00105568; 0.0002; 11; 11
automata/b-hand-made-easy/aut1.mata;1.72; 0.149907; 1.5857; 1002; 1004
automata/b-param-easiest/aut0.mata;0.0; 0.00312221; 0.0002; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.00300134; 0.0002; 7; 6
automata/b-param-easy/aut0.mata;5.13; 0.138343; 4.9999; 454; 454
automata/b-param-easy/aut1.mata;5.12; 0.13874; 4.9855; 453; 453
automata/b-param-harder/aut0.mata;0.03; 0.0313484; 0.0008; 39; 38
automata/b-param-harder/aut1.mata;0.02; 0.0312556; 0.0008; 39; 38
automata/b-param-harder/aut10.mata;0.03; 0.0312889; 0.0008; 39; 38
automata/b-param-harder/aut11.mata;0.03; 0.0311982; 0.0008; 39; 38
automata/b-param-harder/aut12.mata;0.03; 0.031423; 0.0008; 39; 38
automata/b-param-harder/aut13.mata;0.03; 0.0312509; 0.0008; 39; 38
automata/b-param-harder/aut14.mata;0.03; 0.0313846; 0.0008; 39; 38
automata/b-param-harder/aut15.mata;0.03; 0.0311833; 0.0008; 39; 38
automata/b-param-harder/aut16.mata;0.03; 0.0312579; 0.0008; 39; 38
