name;simulation-runtime;simulation-parsing;simulation-reduction;simulation-states;simulation-transitions
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00162445; 0.0002; 4; 4
automata/b-armc-incl-easiest/aut2.mata;0.13; 0.126645; 0.0172; 5; 5
automata/b-armc-incl-easy/aut1.mata;3.78; 1.83001; 1.9249; 75; 113
automata/b-armc-incl-easy/aut2.mata;0.29; 0.26411; 0.0359; 5; 5
automata/b-armc-incl-hard/aut1.mata;0.31; 0.273503; 0.0331; 8; 8
automata/b-armc-incl-hard/aut2.mata;0.27; 0.247604; 0.0277; 8; 8
automata/b-armc-incl-medium-hard/aut1.mata;0.21; 0.19803; 0.0278; 8; 8
automata/b-armc-incl-medium-hard/aut2.mata;0.26; 0.232383; 0.0300; 8; 8
automata/b-armc-incl-medium/aut1.mata;0.29; 0.263435; 0.0332; 8; 8
automata/b-armc-incl-medium/aut2.mata;0.23; 0.209214; 0.0261; 8; 8
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000514421; 0.0003; 11; 10
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00106753; 0.0003; 11; 11
automata/b-hand-made-easy/aut1.mata;2.32; 0.151682; 2.1768; 1002; 1004
automata/b-param-easiest/aut0.mata;0.0; 0.00309691; 0.0002; 7; 6
automata/b-param-easiest/aut1.mata;0.0; 0.00304662; 0.0002; 7; 6
automata/b-param-easy/aut0.mata;0.45; 0.141691; 0.3142; 454; 454
automata/b-param-easy/aut1.mata;0.44; 0.140424; 0.3099; 453; 453
automata/b-param-harder/aut0.mata;0.03; 0.0320376; 0.0031; 39; 38
automata/b-param-harder/aut1.mata;0.03; 0.0320064; 0.0031; 39; 38
automata/b-param-harder/aut10.mata;0.03; 0.0319652; 0.0031; 39; 38
automata/b-param-harder/aut11.mata;0.03; 0.0317882; 0.0031; 39; 38
automata/b-param-harder/aut12.mata;0.03; 0.0317731; 0.0031; 39; 38
automata/b-param-harder/aut13.mata;0.03; 0.0319319; 0.0031; 39; 38
automata/b-param-harder/aut14.mata;0.03; 0.0320141; 0.0031; 39; 38
automata/b-param-harder/aut15.mata;0.03; 0.0318951; 0.0031; 39; 38
automata/b-param-harder/aut16.mata;0.03; 0.0319293; 0.0031; 39; 38
automata/b-param-harder/aut17.mata;0.03; 0.0318439; 0.0031; 39; 38
automata/b-param-harder/aut2.mata;0.03; 0.0319682; 0.0031; 39; 38
automata/b-param-harder/aut3.mata;0.03; 0.0317074; 0.0030; 39; 38
automata/b-param-harder/aut4.mata;0.03; 0.0319329; 0.0031; 39; 38
automata/b-param-harder/aut5.mata;0.03; 0.031743; 0.0031; 39; 38
automata/b-param-harder/aut6.mata;0.03; 0.0318164; 0.0031; 39; 38
automata/b-param-harder/aut7.mata;0.03; 0.0316868; 0.0030; 39; 38
automata/b-param-harder/aut8.mata;0.03; 0.031752; 0.0031; 39; 38
automata/b-param-harder/aut9.mata;0.03; 0.0317472; 0.0031; 39; 38
automata/b-param-hardest/aut1.mata;5.07; 1.17652; 3.9278; 1005; 1005
automata/b-param-hardest/aut2.mata;5.0; 1.18074; 3.8515; 1004; 1004
automata/b-param-medium/aut0.mata;0.02; 0.0303766; 0.0028; 37; 36
